,profile_id,first_name,middle_name,last_name,is_contact_pi,full_name,title,appl_id,project_serial_num,last_name_initials
56,11020052,Kristen,L,Mackiewicz Seghete,True,Kristen L Mackiewicz Seghete,,10677573,DA048756,Mackiewicz Seghete LK
123,10461654,Kun,,Zhang,True,Kun  Zhang,,10544059,MD007595,Zhang K
87,7519595,Laura,C,Hanson,True,Laura C Hanson,,10673669,AG063546,Hanson CL
83,1896876,Laura,F.,Gibson,True,Laura F Gibson,SR ASSOC VP RESEARCH & GRAD ED,10685612,GM104942,Gibson FL
70,6792736,Laura,N.,Gitlin,True,Laura N Gitlin,,10673673,AG063546,Gitlin NL
126,1934377,Laura,S,Van Winkle,True,Laura S Van Winkle,PROFESSOR,10611453,ES023513,Van Winkle SL
101,6601712,Lawrence,C,Kleinman,True,Lawrence C Kleinman,,10847827,HD105619,Kleinman CL
18,6601712,Lawrence,C,Kleinman,True,Lawrence C Kleinman,,10733696,HD105619,Kleinman CL
128,14677437,Leigh,,Lamonica,True,Leigh  Lamonica,DIRECTOR OF LEGAL AND REGULATORY COMPLIA,10677689,GM104940,Lamonica L
72,8176870,Leslie,Diane,Leve,True,Leslie Diane Leve,PROFESSOR,10677556,DA048756,Leve DL
68,8176870,Leslie,Diane,Leve,True,Leslie Diane Leve,PROFESSOR,10677555,DA048756,Leve DL
27,1875763,Linda,L,Hill,False,Linda L Hill,CLINICAL PROFESSOR,10689096,CA233314,Hill LL
129,10479790,Lorna,,Thorpe,True,Lorna  Thorpe,PROFESSOR,10795985,CA220591,Thorpe L
67,77827345,Lu,,Peng,False,Lu  Peng,,10756670,AA029348,Peng L
24,1900244,Lucila,,Ohno-Machado,True,Lucila  Ohno-Machado,PROFESSOR,10745886,LM013755,Ohno-Machado L
54,1900244,Lucila,,Ohno-Machado,True,Lucila  Ohno-Machado,PROFESSOR,10854683,LM013755,Ohno-Machado L
160,6099593,Lucio,,Miele,True,Lucio  Miele,,10677712,GM104940,Miele L
36,9651175,Mai,Tuyet,Pho,False,Mai Tuyet Pho,ASSISTANT PROFESSOR,10671066,DA050066,Pho TM
153,9223860,Marc,B,Cox,True,Marc B Cox,PROFESSOR AND CHAIR,10569078,MD007592,Cox BM
140,11589051,Margarita,,Echeverri,True,Margarita  Echeverri,ASSOCIATE PROFESSOR,10544051,MD007595,Echeverri M
28,1971389,Maria,ELENA,Martinez,True,Maria Elena Martinez,PROFESSOR,10689096,CA233314,Martinez EM
16,1861255,Maria,Laura,Gennaro,False,Maria Laura Gennaro,,10733696,HD105619,Gennaro LM
99,1861255,Maria,Laura,Gennaro,False,Maria Laura Gennaro,,10847827,HD105619,Gennaro LM
51,2307192,Mario,,Castro,True,Mario  Castro,PROFESSOR OF MEDICINE,10702087,TR002366,Castro M
21,2307192,Mario,,Castro,True,Mario  Castro,PROFESSOR OF MEDICINE,10674055,TR002366,Castro M
7,2467468,Marya,,Gwadz,True,Marya  Gwadz,PROFESSOR AND ASSOCIATE DEAN ,10544753,MD017418,Gwadz M
119,1911852,Matthew,W.,Kreuter,True,Matthew W Kreuter,PROFESSOR,10778919,CA235773,Kreuter WM
117,1911852,Matthew,W.,Kreuter,True,Matthew W Kreuter,PROFESSOR,10519246,CA235773,Kreuter WM
50,1911852,Matthew,W.,Kreuter,True,Matthew W Kreuter,PROFESSOR,10677019,CA235773,Kreuter WM
26,11496597,Matthew,Wayne,DeCamp,True,Matthew Wayne DeCamp,ASSOCIATE PROFESSOR,10545080,MD017436,DeCamp WM
32,9133472,Megha,,Ramaswamy,True,Megha  Ramaswamy,,10544769,MD017415,Ramaswamy M
1,10745691,Melanie,Dee,Sabado-Liwag,False,Melanie Dee Sabado-Liwag,,10545069,MD017434,Sabado-Liwag DM
16,10011420,Michael,,Cohen-Wolkowiez,True,Michael  Cohen-Wolkowiez,PROFESSOR,10439479,MD016258,Cohen-Wolkowiez M
77,10011420,Michael,,Cohen-Wolkowiez,True,Michael  Cohen-Wolkowiez,PROFESSOR,10854638,MD016258,Cohen-Wolkowiez M
56,2431709,Michael,A,Lynes,False,Michael A Lynes,,10733688,HD105613,Lynes AM
133,2431709,Michael,A,Lynes,False,Michael A Lynes,,10847825,HD105613,Lynes AM
154,8264854,Michael,J,Kenney,True,Michael J Kenney,"ASSOCIATE DEAN FOR RESEARCH, PROFESSOR",10569082,MD007592,Kenney JM
8,1862128,Michael,P.,Snyder,True,Michael P Snyder,"PROFESSOR, CHAIRMAN OF GENETICS DEPARTME",10594946,NR020105,Snyder PM
14,1874791,Milagros,C,Rosal,False,Milagros C Rosal,,10536608,MD013769,Rosal CM
25,6072016,Milton,L,Wainberg,False,Milton L Wainberg,RESEARCH SCIENTIST,10616680,DA050071,Wainberg LM
63,6414614,Mina,CHRISTINE,Hosseinipour,False,Mina Christine Hosseinipour,RESEARCH PROFESSOR,10531539,AI069423,Hosseinipour CM
99,10483461,Mohammed,Kumail,Ali,True,Mohammed Kumail Ali,DR,10693142,DK111024,Ali KM
31,8769889,Mugur,,Geana,False,Mugur  Geana,,10544769,MD017415,Geana M
39,77871541,Nagib,,Dahdah,False,Nagib  Dahdah,,10733695,HD105591,Dahdah N
72,77871541,Nagib,,Dahdah,False,Nagib  Dahdah,,10847802,HD105591,Dahdah N
130,6078914,Natasha,J,Williams,False,Natasha J Williams,ASST PROFESSOR (RESEARCH),10795985,CA220591,Williams JN
90,10802609,Nathaniel,Scott,Hafer,False,Nathaniel Scott Hafer,,10735580,HL143541,Hafer SN
97,10802609,Nathaniel,Scott,Hafer,True,Nathaniel Scott Hafer,,10735582,HL143541,Hafer SN
98,10802609,Nathaniel,Scott,Hafer,True,Nathaniel Scott Hafer,,10735584,HL143541,Hafer SN
100,8664805,Ngoc-Cam,,Escoffery,True,Ngoc-Cam  Escoffery,ASSOCIATE PROFESSOR,10693145,DK111024,Escoffery N
112,7745756,Nicholas,J.,Kenyon,True,Nicholas J KENYON,"PROFESSOR OF MEDICINE, CHIEF",10611437,ES023513,Kenyon JN
116,12109635,Noemi,,Polgar,True,Noemi  Polgar,ASSISTANT PROFESSOR,10707345,MD007601,Polgar N
115,11754472,Noreen,,Mokuau,False,Noreen  Mokuau,,10707339,MD007601,Mokuau N
